order_id,date,category,city,payment_method,status,unit_price,quantity,revenue,month,month_n,quarter
ORD-1017,2023-07-11,Sports,Semarang,Bank Transfer,Completed,411706,4,1646824,2023-07,7,Q3
ORD-1018,2023-06-07,Electronics,Jakarta,Bank Transfer,Completed,1052421,1,1052421,2023-06,6,Q2
ORD-1019,2023-04-17,Home & Living,Jakarta,Credit Card,Cancelled,357147,2,0,2023-04,4,Q2
ORD-1020,2023-08-12,Books & Stationery,Surabaya,Bank Transfer,Completed,81138,1,81138,2023-08,8,Q3
ORD-1021,2023-02-20,Beauty & Health,Jakarta,COD,Cancelled,100267,1,0,2023-02,2,Q1
ORD-1022,2023-04-17,Books & Stationery,Bandung,COD,Cancelled,220267,3,0,2023-04,4,Q2
ORD-1023,2023-05-14,Electronics,Yogyakarta,Credit Card,Completed,774669,3,2324007,2023-05,5,Q2
ORD-1024,2023-06-16,Fashion,Bandung,Credit Card,Completed,493041,4,1972164,2023-06,6,Q2
ORD-1025,2023-10-14,Fashion,Yogyakarta,Credit Card,Completed,201073,1,201073,2023-10,10,Q4
ORD-1026,2023-03-14,Home & Living,Surabaya,COD,Cancelled,813560,1,0,2023-03,3,Q1
ORD-1027,2023-07-07,Books & Stationery,Jakarta,Credit Card,Completed,217131,5,1085655,2023-07,7,Q3
ORD-1028,2023-08-05,Fashion,Medan,E-Wallet,Completed,451950,1,451950,2023-08,8,Q3
ORD-1029,2023-01-17,Home & Living,Surabaya,Credit Card,Cancelled,645563,1,0,2023-01,1,Q1
ORD-1030,2023-08-10,Electronics,Bandung,E-Wallet,Completed,766017,1,766017,2023-08,8,Q3
ORD-1031,2023-03-04,Beauty & Health,Jakarta,Bank Transfer,Completed,444553,1,444553,2023-03,3,Q1
ORD-1032,2023-01-24,Fashion,Jakarta,E-Wallet,Completed,563916,5,2819580,2023-01,1,Q1
ORD-1033,2023-12-13,Books & Stationery,Makassar,Credit Card,Completed,217570,4,870280,2023-12,12,Q4
ORD-1034,2023-12-19,Beauty & Health,Jakarta,E-Wallet,Cancelled,327328,1,0,2023-12,12,Q4
ORD-1035,2023-10-23,Fashion,Makassar,Credit Card,Completed,297393,2,594786,2023-10,10,Q4
ORD-1036,2023-04-22,Electronics,Makassar,E-Wallet,Completed,3430945,1,3430945,2023-04,4,Q2
ORD-1037,2023-02-05,Electronics,Medan,COD,Cancelled,1624550,1,0,2023-02,2,Q1
ORD-1038,2023-09-07,Electronics,Bandung,Credit Card,Completed,2438134,3,7314402,2023-09,9,Q3
ORD-1039,2023-06-10,Fashion,Bandung,COD,Returned,174865,3,0,2023-06,6,Q2
ORD-1040,2023-02-14,Sports,Yogyakarta,E-Wallet,Returned,984442,5,0,2023-02,2,Q1
ORD-1041,2023-06-30,Beauty & Health,Jakarta,Credit Card,Completed,140677,4,562708,2023-06,6,Q2
ORD-1042,2023-01-13,Beauty & Health,Surabaya,Bank Transfer,Completed,170962,1,170962,2023-01,1,Q1
ORD-1043,2023-11-28,Electronics,Bandung,Credit Card,Completed,2424402,5,12122010,2023-11,11,Q4
ORD-1044,2023-04-05,Sports,Surabaya,E-Wallet,Completed,851838,4,3407352,2023-04,4,Q2
ORD-1045,2023-08-30,Home & Living,Surabaya,E-Wallet,Completed,608545,2,1217090,2023-08,8,Q3
ORD-1046,2023-04-24,Electronics,Jakarta,Credit Card,Completed,1446401,2,2892802,2023-04,4,Q2
ORD-1047,2023-07-09,Home & Living,Bandung,Bank Transfer,Completed,175660,2,351320,2023-07,7,Q3
ORD-1048,2023-07-19,Beauty & Health,Yogyakarta,E-Wallet,Cancelled,362574,1,0,2023-07,7,Q3
ORD-1049,2023-03-09,Electronics,Jakarta,COD,Completed,3705621,3,11116863,2023-03,3,Q1
ORD-1050,2023-12-20,Fashion,Semarang,Bank Transfer,Completed,529956,1,529956,2023-12,12,Q4
ORD-1051,2023-10-10,Beauty & Health,Medan,COD,Completed,255674,3,767022,2023-10,10,Q4
ORD-1052,2023-12-09,Electronics,Yogyakarta,Bank Transfer,Returned,3461301,2,0,2023-12,12,Q4
ORD-1053,2023-11-23,Books & Stationery,Bandung,Bank Transfer,Completed,125371,1,125371,2023-11,11,Q4
ORD-1054,2023-08-07,Sports,Medan,COD,Cancelled,650944,5,0,2023-08,8,Q3
ORD-1055,2023-12-03,Home & Living,Jakarta,Bank Transfer,Completed,508990,4,2035960,2023-12,12,Q4
ORD-1056,2023-02-02,Fashion,Yogyakarta,Bank Transfer,Completed,348811,1,348811,2023-02,2,Q1
ORD-1057,2023-03-13,Fashion,Jakarta,Bank Transfer,Completed,512595,3,1537785,2023-03,3,Q1
ORD-1058,2023-01-17,Home & Living,Semarang,COD,Completed,543738,1,543738,2023-01,1,Q1
ORD-1059,2023-04-29,Beauty & Health,Makassar,COD,Completed,204018,1,204018,2023-04,4,Q2
ORD-1060,2023-05-22,Electronics,Jakarta,Bank Transfer,Completed,1524474,4,6097896,2023-05,5,Q2
ORD-1061,2023-04-10,Beauty & Health,Jakarta,Bank Transfer,Completed,103589,1,103589,2023-04,4,Q2
ORD-1062,2023-10-30,Sports,Medan,Bank Transfer,Returned,699883,3,0,2023-10,10,Q4
ORD-1063,2023-05-11,Fashion,Jakarta,E-Wallet,Completed,239980,5,1199900,2023-05,5,Q2
ORD-1064,2023-04-13,Electronics,Yogyakarta,Credit Card,Returned,1194401,1,0,2023-04,4,Q2
ORD-1065,2023-07-18,Home & Living,Jakarta,E-Wallet,Completed,632680,2,1265360,2023-07,7,Q3
ORD-1066,2023-02-21,Electronics,Jakarta,Bank Transfer,Completed,2793627,4,11174508,2023-02,2,Q1
ORD-1067,2023-10-20,Fashion,Makassar,Bank Transfer,Completed,501077,2,1002154,2023-10,10,Q4
ORD-1068,2023-01-28,Electronics,Bandung,Credit Card,Completed,2260730,1,2260730,2023-01,1,Q1
ORD-1069,2023-12-27,Fashion,Yogyakarta,Credit Card,Completed,572027,3,1716081,2023-12,12,Q4
ORD-1070,2023-10-09,Home & Living,Jakarta,COD,Completed,830439,5,4152195,2023-10,10,Q4
ORD-1071,2023-03-14,Beauty & Health,Bandung,Bank Transfer,Completed,380653,1,380653,2023-03,3,Q1
ORD-1072,2023-01-03,Electronics,Bandung,Credit Card,Completed,2656780,2,5313560,2023-01,1,Q1
ORD-1073,2023-10-25,Sports,Bandung,Bank Transfer,Completed,465125,2,930250,2023-10,10,Q4
ORD-1074,2023-09-16,Sports,Medan,Bank Transfer,Cancelled,1035673,1,0,2023-09,9,Q3
ORD-1075,2023-09-24,Sports,Bandung,Credit Card,Completed,440274,3,1320822,2023-09,9,Q3
ORD-1076,2023-10-09,Electronics,Surabaya,Bank Transfer,Completed,1357970,5,6789850,2023-10,10,Q4
ORD-1077,2023-01-28,Fashion,Jakarta,Bank Transfer,Completed,346077,4,1384308,2023-01,1,Q1
ORD-1078,2023-05-11,Books & Stationery,Medan,E-Wallet,Completed,58299,1,58299,2023-05,5,Q2
ORD-1079,2023-02-12,Home & Living,Jakarta,Bank Transfer,Completed,859946,4,3439784,2023-02,2,Q1
ORD-1080,2023-11-12,Electronics,Medan,Bank Transfer,Completed,2515300,1,2515300,2023-11,11,Q4
ORD-1081,2023-08-16,Electronics,Jakarta,COD,Completed,2420856,5,12104280,2023-08,8,Q3
ORD-1082,2023-05-01,Fashion,Bandung,Bank Transfer,Completed,452898,2,905796,2023-05,5,Q2
ORD-1083,2023-01-24,Sports,Medan,Credit Card,Completed,627499,4,2509996,2023-01,1,Q1
ORD-1084,2023-04-24,Beauty & Health,Jakarta,Credit Card,Completed,101542,5,507710,2023-04,4,Q2
ORD-1085,2023-04-29,Beauty & Health,Jakarta,Bank Transfer,Completed,310432,1,310432,2023-04,4,Q2
ORD-1086,2023-09-24,Electronics,Jakarta,E-Wallet,Returned,2898521,1,0,2023-09,9,Q3
ORD-1087,2023-08-21,Home & Living,Bandung,Credit Card,Completed,466724,3,1400172,2023-08,8,Q3
ORD-1088,2023-11-20,Sports,Yogyakarta,E-Wallet,Completed,846128,1,846128,2023-11,11,Q4
ORD-1089,2023-06-22,Fashion,Jakarta,Credit Card,Cancelled,238500,3,0,2023-06,6,Q2
ORD-1090,2023-02-13,Home & Living,Medan,Bank Transfer,Cancelled,329893,5,0,2023-02,2,Q1
ORD-1091,2023-09-18,Books & Stationery,Jakarta,E-Wallet,Completed,78169,1,78169,2023-09,9,Q3
ORD-1092,2023-10-05,Electronics,Surabaya,Bank Transfer,Completed,1865984,2,3731968,2023-10,10,Q4
ORD-1093,2023-07-24,Beauty & Health,Semarang,E-Wallet,Returned,394924,1,0,2023-07,7,Q3
ORD-1094,2023-10-09,Fashion,Jakarta,Credit Card,Completed,538956,5,2694780,2023-10,10,Q4
ORD-1095,2023-06-30,Home & Living,Surabaya,E-Wallet,Cancelled,442976,1,0,2023-06,6,Q2
ORD-1096,2023-07-10,Beauty & Health,Jakarta,Credit Card,Completed,302082,1,302082,2023-07,7,Q3
ORD-1097,2023-06-06,Beauty & Health,Jakarta,COD,Completed,349493,1,349493,2023-06,6,Q2
ORD-1098,2023-01-10,Home & Living,Jakarta,Credit Card,Completed,343844,2,687688,2023-01,1,Q1
ORD-1099,2023-02-09,Fashion,Jakarta,COD,Completed,209070,4,836280,2023-02,2,Q1
ORD-1100,2023-01-12,Sports,Bandung,Bank Transfer,Cancelled,1026560,4,0,2023-01,1,Q1
ORD-1101,2023-08-21,Beauty & Health,Surabaya,E-Wallet,Returned,312320,5,0,2023-08,8,Q3
ORD-1102,2023-04-25,Electronics,Bandung,Bank Transfer,Completed,3694247,1,3694247,2023-04,4,Q2
ORD-1103,2023-07-05,Home & Living,Jakarta,COD,Completed,411429,1,411429,2023-07,7,Q3
ORD-1104,2023-11-28,Home & Living,Jakarta,Credit Card,Cancelled,667122,4,0,2023-11,11,Q4
ORD-1105,2023-04-01,Fashion,Bandung,Credit Card,Completed,236301,3,708903,2023-04,4,Q2
ORD-1106,2023-05-30,Sports,Makassar,Bank Transfer,Completed,429408,1,429408,2023-05,5,Q2
ORD-1107,2023-10-03,Sports,Jakarta,Credit Card,Completed,639997,2,1279994,2023-10,10,Q4
ORD-1108,2023-03-25,Fashion,Semarang,Credit Card,Completed,284809,1,284809,2023-03,3,Q1
ORD-1109,2023-01-29,Books & Stationery,Bandung,COD,Completed,79348,3,238044,2023-01,1,Q1
ORD-1110,2023-04-16,Electronics,Bandung,COD,Completed,1538642,4,6154568,2023-04,4,Q2
ORD-1111,2023-02-28,Electronics,Surabaya,Bank Transfer,Completed,857245,3,2571735,2023-02,2,Q1
ORD-1112,2023-12-06,Electronics,Jakarta,COD,Returned,2863270,1,0,2023-12,12,Q4
ORD-1113,2023-10-22,Sports,Jakarta,Bank Transfer,Completed,623377,2,1246754,2023-10,10,Q4
ORD-1114,2023-08-20,Home & Living,Bandung,Credit Card,Completed,240970,1,240970,2023-08,8,Q3
ORD-1115,2023-11-15,Electronics,Jakarta,E-Wallet,Completed,1265081,2,2530162,2023-11,11,Q4
ORD-1116,2023-10-21,Fashion,Semarang,E-Wallet,Completed,176267,1,176267,2023-10,10,Q4
ORD-1117,2023-03-10,Beauty & Health,Surabaya,COD,Completed,310533,1,310533,2023-03,3,Q1
ORD-1118,2023-11-22,Electronics,Jakarta,Credit Card,Completed,1032631,3,3097893,2023-11,11,Q4
ORD-1119,2023-07-16,Sports,Medan,E-Wallet,Completed,843597,3,2530791,2023-07,7,Q3
ORD-1120,2023-10-22,Sports,Jakarta,Credit Card,Completed,227229,1,227229,2023-10,10,Q4
ORD-1121,2023-11-24,Beauty & Health,Surabaya,Credit Card,Completed,179775,3,539325,2023-11,11,Q4
ORD-1122,2023-04-27,Books & Stationery,Medan,Credit Card,Completed,216726,2,433452,2023-04,4,Q2
ORD-1123,2023-02-10,Fashion,Semarang,COD,Completed,484265,1,484265,2023-02,2,Q1
ORD-1124,2023-03-25,Books & Stationery,Medan,E-Wallet,Completed,61363,1,61363,2023-03,3,Q1
ORD-1125,2023-06-05,Home & Living,Bandung,E-Wallet,Completed,749788,1,749788,2023-06,6,Q2
ORD-1126,2023-10-26,Beauty & Health,Bandung,Bank Transfer,Completed,267492,1,267492,2023-10,10,Q4
ORD-1127,2023-11-11,Electronics,Semarang,Bank Transfer,Returned,3290349,1,0,2023-11,11,Q4
ORD-1128,2023-01-03,Sports,Jakarta,Credit Card,Cancelled,714621,1,0,2023-01,1,Q1
ORD-1129,2023-07-06,Fashion,Jakarta,Credit Card,Completed,465916,1,465916,2023-07,7,Q3
ORD-1130,2023-06-02,Electronics,Jakarta,Bank Transfer,Completed,3730504,1,3730504,2023-06,6,Q2
ORD-1131,2023-03-23,Electronics,Jakarta,E-Wallet,Completed,1447006,1,1447006,2023-03,3,Q1
ORD-1132,2023-02-13,Beauty & Health,Bandung,Bank Transfer,Returned,314620,2,0,2023-02,2,Q1
ORD-1133,2023-05-04,Beauty & Health,Bandung,Credit Card,Completed,255715,1,255715,2023-05,5,Q2
ORD-1134,2023-12-11,Home & Living,Bandung,Credit Card,Completed,202616,1,202616,2023-12,12,Q4
ORD-1135,2023-04-28,Sports,Jakarta,Credit Card,Completed,222155,5,1110775,2023-04,4,Q2
ORD-1136,2023-07-09,Electronics,Medan,Bank Transfer,Completed,1107685,3,3323055,2023-07,7,Q3
ORD-1137,2023-09-14,Home & Living,Jakarta,COD,Returned,629364,4,0,2023-09,9,Q3
ORD-1138,2023-05-13,Electronics,Bandung,E-Wallet,Completed,2451489,1,2451489,2023-05,5,Q2
ORD-1139,2023-12-21,Sports,Bandung,E-Wallet,Completed,674880,3,2024640,2023-12,12,Q4
ORD-1140,2023-12-18,Sports,Jakarta,Bank Transfer,Completed,236759,1,236759,2023-12,12,Q4
ORD-1141,2023-04-02,Beauty & Health,Jakarta,Bank Transfer,Completed,258949,2,517898,2023-04,4,Q2
ORD-1142,2023-07-01,Home & Living,Jakarta,Credit Card,Completed,822235,4,3288940,2023-07,7,Q3
ORD-1143,2023-04-20,Fashion,Yogyakarta,COD,Completed,323795,3,971385,2023-04,4,Q2
ORD-1144,2023-04-14,Beauty & Health,Semarang,E-Wallet,Returned,314972,1,0,2023-04,4,Q2
ORD-1145,2023-01-14,Sports,Bandung,Credit Card,Completed,865047,4,3460188,2023-01,1,Q1
ORD-1146,2023-08-11,Fashion,Jakarta,Bank Transfer,Completed,516962,1,516962,2023-08,8,Q3
ORD-1147,2023-07-03,Fashion,Surabaya,Bank Transfer,Returned,384640,1,0,2023-07,7,Q3
ORD-1148,2023-01-19,Beauty & Health,Medan,E-Wallet,Completed,398862,1,398862,2023-01,1,Q1
ORD-1149,2023-04-12,Sports,Medan,COD,Completed,538757,4,2155028,2023-04,4,Q2
ORD-1150,2023-11-28,Fashion,Jakarta,E-Wallet,Completed,569346,2,1138692,2023-11,11,Q4
ORD-1151,2023-03-29,Electronics,Jakarta,Bank Transfer,Cancelled,1470681,2,0,2023-03,3,Q1
ORD-1152,2023-02-22,Home & Living,Medan,Credit Card,Completed,371151,5,1855755,2023-02,2,Q1
ORD-1153,2023-06-28,Sports,Surabaya,Credit Card,Returned,254621,3,0,2023-06,6,Q2
ORD-1154,2023-12-26,Electronics,Jakarta,Credit Card,Cancelled,3136745,1,0,2023-12,12,Q4
ORD-1155,2023-03-30,Electronics,Jakarta,Credit Card,Completed,2001165,5,10005825,2023-03,3,Q1
ORD-1156,2023-09-03,Electronics,Bandung,E-Wallet,Completed,1437349,1,1437349,2023-09,9,Q3
ORD-1157,2023-10-05,Fashion,Yogyakarta,E-Wallet,Completed,240895,2,481790,2023-10,10,Q4
ORD-1158,2023-03-28,Fashion,Makassar,Credit Card,Completed,575699,5,2878495,2023-03,3,Q1
ORD-1159,2023-09-23,Home & Living,Bandung,COD,Cancelled,758741,3,0,2023-09,9,Q3
ORD-1160,2023-05-15,Home & Living,Surabaya,Credit Card,Returned,562471,1,0,2023-05,5,Q2
ORD-1161,2023-08-19,Beauty & Health,Jakarta,Bank Transfer,Completed,311799,1,311799,2023-08,8,Q3
ORD-1162,2023-08-20,Fashion,Bandung,Credit Card,Completed,362162,4,1448648,2023-08,8,Q3
ORD-1163,2023-07-15,Sports,Surabaya,Bank Transfer,Completed,538999,1,538999,2023-07,7,Q3
ORD-1164,2023-02-02,Beauty & Health,Bandung,Credit Card,Completed,419571,4,1678284,2023-02,2,Q1
ORD-1165,2023-11-01,Books & Stationery,Surabaya,Bank Transfer,Completed,71366,3,214098,2023-11,11,Q4
ORD-1166,2023-04-28,Beauty & Health,Jakarta,Bank Transfer,Completed,240640,1,240640,2023-04,4,Q2
ORD-1167,2023-03-10,Electronics,Jakarta,COD,Completed,1783685,5,8918425,2023-03,3,Q1
ORD-1168,2023-01-15,Home & Living,Jakarta,Credit Card,Completed,523705,1,523705,2023-01,1,Q1
ORD-1169,2023-08-04,Fashion,Jakarta,Credit Card,Completed,353815,1,353815,2023-08,8,Q3
ORD-1170,2023-09-05,Home & Living,Jakarta,Credit Card,Cancelled,538222,2,0,2023-09,9,Q3
ORD-1171,2023-01-07,Electronics,Makassar,E-Wallet,Cancelled,1169756,2,0,2023-01,1,Q1
ORD-1172,2023-07-06,Electronics,Surabaya,Credit Card,Completed,2289424,1,2289424,2023-07,7,Q3
ORD-1173,2023-03-24,Sports,Bandung,COD,Completed,413631,1,413631,2023-03,3,Q1
ORD-1174,2023-08-24,Electronics,Yogyakarta,Bank Transfer,Completed,1302994,2,2605988,2023-08,8,Q3
ORD-1175,2023-03-05,Sports,Makassar,Bank Transfer,Completed,264460,2,528920,2023-03,3,Q1
ORD-1176,2023-09-10,Fashion,Bandung,E-Wallet,Completed,506326,1,506326,2023-09,9,Q3
ORD-1177,2023-05-22,Beauty & Health,Yogyakarta,Credit Card,Completed,243879,2,487758,2023-05,5,Q2
ORD-1178,2023-12-08,Home & Living,Jakarta,Credit Card,Completed,613650,3,1840950,2023-12,12,Q4
ORD-1179,2023-02-20,Beauty & Health,Jakarta,Bank Transfer,Completed,351933,2,703866,2023-02,2,Q1
ORD-1180,2023-05-05,Fashion,Surabaya,E-Wallet,Completed,464658,1,464658,2023-05,5,Q2
ORD-1181,2023-02-11,Electronics,Bandung,Credit Card,Completed,2161502,3,6484506,2023-02,2,Q1
ORD-1182,2023-12-04,Electronics,Medan,Credit Card,Completed,1913695,3,5741085,2023-12,12,Q4
ORD-1183,2023-11-17,Fashion,Jakarta,COD,Returned,312979,1,0,2023-11,11,Q4
ORD-1184,2023-04-05,Home & Living,Jakarta,Credit Card,Completed,623034,2,1246068,2023-04,4,Q2
ORD-1185,2023-08-29,Books & Stationery,Bandung,E-Wallet,Completed,141510,1,141510,2023-08,8,Q3
ORD-1186,2023-10-26,Sports,Jakarta,E-Wallet,Completed,923271,4,3693084,2023-10,10,Q4
ORD-1187,2023-07-22,Home & Living,Bandung,Credit Card,Returned,787291,1,0,2023-07,7,Q3
ORD-1188,2023-07-13,Home & Living,Medan,Credit Card,Completed,294392,1,294392,2023-07,7,Q3
ORD-1189,2023-03-30,Home & Living,Medan,Credit Card,Completed,270363,2,540726,2023-03,3,Q1
ORD-1190,2023-02-03,Fashion,Medan,E-Wallet,Cancelled,440200,1,0,2023-02,2,Q1
ORD-1191,2023-11-24,Sports,Yogyakarta,E-Wallet,Completed,463029,2,926058,2023-11,11,Q4
ORD-1192,2023-11-25,Home & Living,Surabaya,E-Wallet,Completed,187999,1,187999,2023-11,11,Q4
ORD-1193,2023-08-20,Beauty & Health,Medan,COD,Completed,409911,1,409911,2023-08,8,Q3
ORD-1194,2023-05-04,Electronics,Bandung,E-Wallet,Completed,1430702,1,1430702,2023-05,5,Q2
ORD-1195,2023-05-08,Fashion,Jakarta,Credit Card,Completed,589640,1,589640,2023-05,5,Q2
ORD-1196,2023-09-22,Fashion,Jakarta,Credit Card,Completed,483717,2,967434,2023-09,9,Q3
ORD-1197,2023-11-24,Sports,Jakarta,COD,Completed,850628,1,850628,2023-11,11,Q4
ORD-1198,2023-11-20,Beauty & Health,Surabaya,Credit Card,Completed,162526,4,650104,2023-11,11,Q4
ORD-1199,2023-10-12,Fashion,Bandung,Credit Card,Completed,242097,5,1210485,2023-10,10,Q4
ORD-1200,2023-08-23,Books & Stationery,Yogyakarta,E-Wallet,Completed,146540,2,293080,2023-08,8,Q3
ORD-1201,2023-01-31,Electronics,Jakarta,Bank Transfer,Completed,1266299,1,1266299,2023-01,1,Q1
ORD-1202,2023-02-28,Fashion,Jakarta,COD,Returned,277715,2,0,2023-02,2,Q1
ORD-1203,2023-11-24,Electronics,Makassar,E-Wallet,Completed,1714387,1,1714387,2023-11,11,Q4
ORD-1204,2023-08-10,Home & Living,Jakarta,Credit Card,Completed,286740,1,286740,2023-08,8,Q3
ORD-1205,2023-01-04,Sports,Surabaya,COD,Completed,382353,3,1147059,2023-01,1,Q1
ORD-1206,2023-02-07,Fashion,Bandung,Credit Card,Completed,519275,5,2596375,2023-02,2,Q1
ORD-1207,2023-08-31,Sports,Bandung,Bank Transfer,Completed,350444,1,350444,2023-08,8,Q3
ORD-1208,2023-01-02,Fashion,Jakarta,Bank Transfer,Completed,139228,1,139228,2023-01,1,Q1
ORD-1209,2023-02-28,Sports,Jakarta,Credit Card,Completed,738658,4,2954632,2023-02,2,Q1
ORD-1210,2023-07-20,Home & Living,Jakarta,Bank Transfer,Completed,858188,2,1716376,2023-07,7,Q3
ORD-1211,2023-09-10,Sports,Bandung,Credit Card,Completed,488219,1,488219,2023-09,9,Q3
ORD-1212,2023-08-26,Electronics,Bandung,Bank Transfer,Completed,1105967,2,2211934,2023-08,8,Q3
ORD-1213,2023-03-23,Books & Stationery,Jakarta,Bank Transfer,Completed,155873,3,467619,2023-03,3,Q1
ORD-1214,2023-09-17,Home & Living,Bandung,E-Wallet,Completed,809447,1,809447,2023-09,9,Q3
ORD-1215,2023-03-28,Fashion,Yogyakarta,E-Wallet,Completed,517030,1,517030,2023-03,3,Q1
ORD-1216,2023-04-29,Sports,Jakarta,Credit Card,Completed,732913,2,1465826,2023-04,4,Q2
ORD-1217,2023-09-30,Fashion,Surabaya,Bank Transfer,Completed,282528,1,282528,2023-09,9,Q3
ORD-1218,2023-08-26,Sports,Medan,Bank Transfer,Completed,665179,1,665179,2023-08,8,Q3
ORD-1219,2023-11-06,Electronics,Jakarta,Credit Card,Completed,1023734,5,5118670,2023-11,11,Q4
ORD-1220,2023-08-29,Home & Living,Jakarta,E-Wallet,Cancelled,650261,2,0,2023-08,8,Q3
ORD-1221,2023-07-27,Beauty & Health,Bandung,E-Wallet,Completed,351034,3,1053102,2023-07,7,Q3
ORD-1222,2023-02-04,Electronics,Semarang,Credit Card,Completed,3645094,4,14580376,2023-02,2,Q1
ORD-1223,2023-05-15,Electronics,Yogyakarta,Bank Transfer,Cancelled,1531192,2,0,2023-05,5,Q2
ORD-1224,2023-04-07,Electronics,Bandung,Credit Card,Completed,805369,4,3221476,2023-04,4,Q2
ORD-1225,2023-03-31,Fashion,Medan,E-Wallet,Completed,397804,3,1193412,2023-03,3,Q1
ORD-1226,2023-12-22,Fashion,Surabaya,Credit Card,Completed,478395,4,1913580,2023-12,12,Q4
ORD-1227,2023-05-24,Beauty & Health,Bandung,COD,Completed,374546,3,1123638,2023-05,5,Q2
ORD-1228,2023-11-22,Fashion,Surabaya,E-Wallet,Completed,221869,1,221869,2023-11,11,Q4
ORD-1229,2023-08-19,Fashion,Jakarta,Bank Transfer,Completed,255876,1,255876,2023-08,8,Q3
ORD-1230,2023-10-18,Home & Living,Medan,E-Wallet,Completed,533813,2,1067626,2023-10,10,Q4
ORD-1231,2023-07-03,Electronics,Bandung,COD,Completed,1741802,1,1741802,2023-07,7,Q3
ORD-1232,2023-07-30,Sports,Surabaya,E-Wallet,Cancelled,932829,5,0,2023-07,7,Q3
ORD-1233,2023-06-29,Sports,Semarang,Credit Card,Completed,607958,5,3039790,2023-06,6,Q2
ORD-1234,2023-03-13,Home & Living,Jakarta,Bank Transfer,Completed,734705,1,734705,2023-03,3,Q1
ORD-1235,2023-09-21,Beauty & Health,Jakarta,COD,Completed,299023,1,299023,2023-09,9,Q3
ORD-1236,2023-04-13,Sports,Jakarta,E-Wallet,Completed,859395,3,2578185,2023-04,4,Q2
ORD-1237,2023-01-09,Electronics,Medan,E-Wallet,Cancelled,1748018,3,0,2023-01,1,Q1
ORD-1238,2023-08-24,Electronics,Medan,COD,Completed,3244249,1,3244249,2023-08,8,Q3
ORD-1239,2023-03-06,Electronics,Jakarta,COD,Completed,1573716,2,3147432,2023-03,3,Q1
ORD-1240,2023-12-10,Home & Living,Bandung,COD,Completed,557269,3,1671807,2023-12,12,Q4
ORD-1241,2023-12-15,Electronics,Surabaya,Credit Card,Completed,1392021,1,1392021,2023-12,12,Q4
ORD-1242,2023-11-30,Beauty & Health,Medan,Bank Transfer,Completed,261189,3,783567,2023-11,11,Q4
ORD-1243,2023-05-16,Books & Stationery,Surabaya,E-Wallet,Completed,107953,2,215906,2023-05,5,Q2
ORD-1244,2023-01-06,Sports,Surabaya,E-Wallet,Completed,434030,3,1302090,2023-01,1,Q1
ORD-1245,2023-12-05,Beauty & Health,Semarang,E-Wallet,Completed,438114,1,438114,2023-12,12,Q4
ORD-1246,2023-06-06,Electronics,Jakarta,Credit Card,Completed,1230222,1,1230222,2023-06,6,Q2
ORD-1247,2023-12-19,Sports,Jakarta,E-Wallet,Completed,871353,4,3485412,2023-12,12,Q4
ORD-1248,2023-12-18,Beauty & Health,Bandung,E-Wallet,Cancelled,444299,5,0,2023-12,12,Q4
ORD-1249,2023-11-08,Electronics,Makassar,Credit Card,Cancelled,809704,1,0,2023-11,11,Q4
ORD-1250,2023-04-18,Electronics,Surabaya,Bank Transfer,Returned,2847082,1,0,2023-04,4,Q2
ORD-1251,2023-05-21,Sports,Jakarta,Credit Card,Returned,422445,2,0,2023-05,5,Q2
